<TICKER>;<PER>;<DATE>;<TIME>;<LAST>;<VOL>
SBRF-3.10;0;20100304;103039;8238.00000;2
SBRF-3.10;0;20100304;103039;8238.00000;150
SBRF-3.10;0;20100304;103039;8238.00000;80
SBRF-3.10;0;20100304;103039;8238.00000;8
SBRF-3.10;0;20100304;103039;8238.00000;10
SBRF-3.10;0;20100304;103039;8238.00000;20
SBRF-3.10;0;20100304;103039;8238.00000;2
SBRF-3.10;0;20100304;103039;8238.00000;3
SBRF-3.10;0;20100304;103039;8238.00000;5
SBRF-3.10;0;20100304;103039;8238.00000;5
SBRF-3.10;0;20100304;103040;8238.00000;5
SBRF-3.10;0;20100304;103040;8238.00000;10
SBRF-3.10;0;20100304;103040;8240.00000;39
SBRF-3.10;0;20100304;103040;8240.00000;61
SBRF-3.10;0;20100304;103040;8240.00000;29
SBRF-3.10;0;20100304;103040;8243.00000;5
SBRF-3.10;0;20100304;103040;8243.00000;1
SBRF-3.10;0;20100304;103040;8243.00000;14
SBRF-3.10;0;20100304;103040;8244.00000;31
SBRF-3.10;0;20100304;103040;8241.00000;1
SBRF-3.10;0;20100304;103040;8240.00000;1
SBRF-3.10;0;20100304;103040;8240.00000;9
SBRF-3.10;0;20100304;103041;8242.00000;8
SBRF-3.10;0;20100304;103041;8244.00000;39
SBRF-3.10;0;20100304;103041;8243.00000;16
SBRF-3.10;0;20100304;103041;8242.00000;15
SBRF-3.10;0;20100304;103041;8241.00000;2
SBRF-3.10;0;20100304;103041;8240.00000;33
SBRF-3.10;0;20100304;103041;8240.00000;7
SBRF-3.10;0;20100304;103041;8240.00000;20
SBRF-3.10;0;20100304;103041;8240.00000;50
SBRF-3.10;0;20100304;103041;8238.00000;2
SBRF-3.10;0;20100304;103041;8237.00000;24
SBRF-3.10;0;20100304;103041;8237.00000;1
SBRF-3.10;0;20100304;103041;8237.00000;1
SBRF-3.10;0;20100304;103041;8237.00000;150
SBRF-3.10;0;20100304;103042;8237.00000;45
SBRF-3.10;0;20100304;103042;8242.00000;20
SBRF-3.10;0;20100304;103042;8243.00000;26
SBRF-3.10;0;20100304;103042;8241.00000;4
SBRF-3.10;0;20100304;103043;8242.00000;8
SBRF-3.10;0;20100304;103043;8243.00000;1
SBRF-3.10;0;20100304;103043;8242.00000;4
SBRF-3.10;0;20100304;103043;8242.00000;4
SBRF-3.10;0;20100304;103043;8242.00000;1
SBRF-3.10;0;20100304;103043;8242.00000;3
SBRF-3.10;0;20100304;103043;8242.00000;4
SBRF-3.10;0;20100304;103043;8242.00000;8
SBRF-3.10;0;20100304;103043;8241.00000;1
SBRF-3.10;0;20100304;103043;8241.00000;2
SBRF-3.10;0;20100304;103043;8243.00000;11
SBRF-3.10;0;20100304;103043;8243.00000;1
SBRF-3.10;0;20100304;103043;8245.00000;3
SBRF-3.10;0;20100304;103043;8245.00000;1
SBRF-3.10;0;20100304;103043;8245.00000;1
SBRF-3.10;0;20100304;103043;8246.00000;2
SBRF-3.10;0;20100304;103043;8246.00000;1
SBRF-3.10;0;20100304;103044;8239.00000;6
SBRF-3.10;0;20100304;103044;8238.00000;1
SBRF-3.10;0;20100304;103044;8238.00000;2
SBRF-3.10;0;20100304;103044;8238.00000;15
SBRF-3.10;0;20100304;103045;8238.00000;27
SBRF-3.10;0;20100304;103045;8239.00000;53
SBRF-3.10;0;20100304;103045;8237.00000;10
SBRF-3.10;0;20100304;103045;8236.00000;2
SBRF-3.10;0;20100304;103045;8236.00000;10
SBRF-3.10;0;20100304;103045;8236.00000;3
SBRF-3.10;0;20100304;103045;8236.00000;2
SBRF-3.10;0;20100304;103045;8236.00000;10
SBRF-3.10;0;20100304;103045;8239.00000;48
SBRF-3.10;0;20100304;103045;8239.00000;1
SBRF-3.10;0;20100304;103045;8239.00000;4
SBRF-3.10;0;20100304;103046;8237.00000;1
SBRF-3.10;0;20100304;103046;8236.00000;1
SBRF-3.10;0;20100304;103046;8239.00000;3
SBRF-3.10;0;20100304;103046;8239.00000;3
SBRF-3.10;0;20100304;103046;8239.00000;182
SBRF-3.10;0;20100304;103046;8244.00000;1
SBRF-3.10;0;20100304;103046;8245.00000;15
SBRF-3.10;0;20100304;103046;8245.00000;8
SBRF-3.10;0;20100304;103046;8245.00000;7
SBRF-3.10;0;20100304;103046;8245.00000;16
SBRF-3.10;0;20100304;103046;8245.00000;31
SBRF-3.10;0;20100304;103046;8245.00000;15
SBRF-3.10;0;20100304;103046;8245.00000;13
SBRF-3.10;0;20100304;103047;8245.00000;100
SBRF-3.10;0;20100304;103047;8245.00000;56
SBRF-3.10;0;20100304;103047;8245.00000;2
SBRF-3.10;0;20100304;103047;8245.00000;54
SBRF-3.10;0;20100304;103047;8243.00000;5
